,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
113,113,CC(C)(C)[Si](C)(C)OCC[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.91,1.0,0.1,10.1021/jacs.8b12095,AD
114,114,CC(C)(C)[Si](C)(C)OCC[C@@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,4.48,1.0,0.1,10.1021/jacs.8b12095,AD
294,294,CC1(C)CO[C@]([C@@H](F)C1)(C(=O)c2ccccc2)c3ccccc3,6.75,1.0,0.1,10.1002/chem.201202444,AD
378,378,Fc1cccc(c1)C(=O)[C@]2(OCCC[C@H]2Br)c3cccc(F)c3,7.34,1.0,0.1,10.1021/ja201794v,AD
379,379,Fc1cccc(c1)C(=O)[C@@]2(OCCC[C@H]2Br)c3cccc(F)c3,6.19,1.0,0.1,10.1021/ja201794v,AD
460,460,CCCC[C@@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,7.38,1.0,0.15,10.1016/j.scib.2021.04.037,AD
461,461,CCCC[C@]1(C/C(COC1=O)=C/c2ccccc2)c3ccccc3,6.5,1.0,0.15,10.1016/j.scib.2021.04.037,AD
527,527,CC1(C)CO[C@@]([C@H](F)C1)(C(=O)c2ccccc2)c3ccccc3,5.71,1.0,0.1,10.1002/chem.201202444,AD
580,580,CC(Br)[C@@](C)(c1ccccc1)C(=O)c2ccccc2,5.41,1.0,0.1,10.1039/C1SC00295C,AD
581,581,CC(Br)[C@](C)(c1ccccc1)C(=O)c2ccccc2,6.99,1.0,0.1,10.1039/C1SC00295C,AD
591,591,Cl[C@@H]1CCCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,9.36,1.0,0.1,10.1021/ja201794v,AD
604,604,F[C@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,8.01,1.0,0.05,10.1002/chem.201202444,AD
605,605,F[C@@H]1CCCO[C@]1(C(=O)c2cccc(F)c2)c3cccc(F)c3,7.09,1.0,0.05,10.1002/chem.201202444,AD
618,618,F[C@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,9.33,1.0,0.1,10.1002/chem.201202444,AD
619,619,F[C@@H]1CCCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.12,1.0,0.1,10.1002/chem.201202444,AD
676,676,Fc1cccc(c1)C(=O)[C@@]2(OCCC[C@@H]2Br)c3cccc(F)c3,6.17,1.0,0.1,10.1021/ja201794v,AD
684,684,Br[C@@H]1CCCO[C@@]1(C(=O)c2ccccc2)c3ccccc3,9.63,1.0,0.1,10.1021/ja201794v,AD
695,695,F[C@H]1CCO[C@]1(C(=O)c2ccccc2)c3ccccc3,12.32,1.0,0.1,10.1002/chem.201202444,AD
696,696,F[C@@H]1CCO[C@]1(C(=O)c2ccccc2)c3ccccc3,7.4,1.0,0.1,10.1002/chem.201202444,AD
739,739,BrC[C@](CC1CCCCC1)(C(=O)c2ccccc2)c3ccccc3,6.91,1.0,0.01,10.1039/C1SC00295C,AD
740,740,BrC[C@@](CC1CCCCC1)(C(=O)c2ccccc2)c3ccccc3,7.53,1.0,0.01,10.1039/C1SC00295C,AD
761,761,C[C@@](CBr)(C(=O)c1ccc(Cl)cc1)c2ccc(Cl)cc2,6.29,1.0,0.1,10.1039/C1SC00295C,AD
