,SMILES,RT,Speed,i-PrOH_proportion,Literature
0,Cc1ccc(cc1)[C@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,4.32,1.0,0.1,10.1002/anie.201501762
1,Cc1ccc(cc1)[C@@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,3.46,1.0,0.1,10.1002/anie.201501762
2,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,6.4,1.0,0.1,10.1002/anie.201501762
3,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,3.63,1.0,0.1,10.1002/anie.201501762
4,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccccc3,4.62,1.0,0.1,10.1002/anie.201501762
5,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccccc3,3.67,1.0,0.1,10.1002/anie.201501762
6,CC(=O)c1ccc(cc1)[C@@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,4.2,1.0,0.3,10.1039/D1CC01690C
7,CC(=O)c1ccc(cc1)[C@H](CCCO[Si](C)(C)C(C)(C)C)CC(=O)NC(C)(C)c2ccccn2,3.9,1.0,0.3,10.1039/D1CC01690C
8,CO[C@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.46,1.0,0.1,10.1002/anie.201405401
9,CO[C@@H](NC(=O)c1sccc1)c2ccccc2CCCC(F)(F)F,4.02,1.0,0.1,10.1002/anie.201405401
10,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@@](C)(C1)c3ccc(F)cc3,4.86,1.0,0.1,10.1002/anie.201501762
11,CC1(C)CN(C(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](C)(C1)c3ccc(F)cc3,4.13,1.0,0.1,10.1002/anie.201501762
12,C[C@@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.8,1.0,0.2,10.1039/D1CC01690C
13,C[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(OC(F)(F)F)cc2,4.6,1.0,0.2,10.1039/D1CC01690C
14,C[C@]1(CC2(CCCCC2)CN1)c3ccc(cc3)c4ccccc4,5.51,1.0,0.3,10.1002/anie.201501762
15,C[C@@]1(CC2(CCCCC2)CN1)c3ccc(cc3)c4ccccc4,4.64,1.0,0.3,10.1002/anie.201501762
16,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)C#C,8.06,1.0,0.1,10.1002/anie.201501762
17,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(cc4)C#C,4.68,1.0,0.1,10.1002/anie.201501762
18,CC(C)O[C@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,6.05,1.0,0.1,10.1002/anie.201405401
19,CC(C)O[C@@H](NC(=O)c1ccccc1)c2ccccc2CCCC(F)(F)F,5.03,1.0,0.1,10.1002/anie.201405401
20,CC(C)[Si](C#Cc1cc(C)ccc1[S@@](=O)c2ccc(cn2)C(F)(F)F)(C(C)C)C(C)C,4.7,0.8,0.15,10.1021/acs.orglett.1c02918
21,CC(C)[Si](C#Cc1cc(C)ccc1[S@](=O)c2ccc(cn2)C(F)(F)F)(C(C)C)C(C)C,5.2,0.8,0.15,10.1021/acs.orglett.1c02918
