,index,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
0,0,O=C(OC)N(C)[C@@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,2.14,0.5,0.05,10.1039/C9SC04534A,OJ3
1,0,O=C(OC)N(C)[C@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,1.81,0.5,0.05,10.1039/C9SC04534A,OJ3
2,1,C=CCCCCCCC[C@@H](C[C@@]1(CCCC1=O)c2ccccc2)C=O,0.97,2,0.076923,10.1002/anie.202001100,AD3
3,2,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,2.13,0.5,0.3,10.1039/C8QO01291A,IA
4,2,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,2.3,0.5,0.3,10.1039/C8QO01291A,IA
5,3,Fc1cccc(c1)[C@@H]2NCc3ccccc3c4ccccc24,2,0.5,0.2,10.1039/C8SC04482A,OD3
6,3,Fc1cccc(c1)[C@H]2NCc3ccccc3c4ccccc24,2.3,0.5,0.2,10.1039/C8SC04482A,OD3
7,4,Fc1ccc2c(CN[C@@H](c3ccccc3)c4ccccc24)c1,2,0.5,0.2,10.1039/C8SC04482A,OD3
8,4,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,2.5,0.5,0.2,10.1039/C8SC04482A,OD3
9,5,Clc1ccc2[C@@H](NCc3ccccc3c2c1)c4ccccc4,2,0.5,0.2,10.1039/C8SC04482A,OD3
10,5,Clc1ccc2[C@H](NCc3ccccc3c2c1)c4ccccc4,2.6,0.5,0.2,10.1039/C8SC04482A,OD3
11,6,COc1cc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,3.09,0.5,0.2,10.1039/C9SC04534A,IAU
12,6,COc1cc(C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,2.67,0.5,0.2,10.1039/C9SC04534A,IAU
13,7,C[C@@H]1OCCc2ccc(cc12)C#Cc3ccccc3,2.5,0.5,0.01,10.1002/anie.201916677,IF3
14,7,C[C@H]1OCCc2ccc(cc12)C#Cc3ccccc3,2.7,0.5,0.01,10.1002/anie.201916677,IF3
15,8,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,2.48,0.5,0.3,10.1039/C8QO01291A,IA
16,8,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,2.77,0.5,0.3,10.1039/C8QO01291A,IA
17,9,Cc1ccccc1[C@@H]2NCc3ccccc3c4ccccc24,1.8,0.5,0.2,10.1039/C8SC04482A,OD3
18,9,Cc1ccccc1[C@H]2NCc3ccccc3c4ccccc24,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
19,10,C1N[C@@H](c2ccccc2)c3ccccc3c4ccccc14,2,0.5,0.2,10.1039/C8SC04482A,OD3
20,10,C1N[C@H](c2ccccc2)c3ccccc3c4ccccc14,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
21,11,CC(C)C[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.36,0.5,0.05,10.1039/C9SC04534A,IAU
22,11,CC(C)C[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.1,0.5,0.05,10.1039/C9SC04534A,IAU
23,12,CCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
24,12,CCCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.12,0.5,0.05,10.1039/C9SC04534A,IAU
25,13,CCCCCCCCCC[C@@H]1NC(=O)c2ccccc2O1,2.92,0.5,0.05,10.1002/chem.202002930,OD3
26,13,CCCCCCCCCC[C@H]1NC(=O)c2ccccc2O1,3.21,0.5,0.05,10.1002/chem.202002930,OD3
27,14,C[C@@H]1NC(=O)c2cc(F)ccc2O1,2.65,0.5,0.1,10.1002/chem.202002930,OD3
28,14,C[C@H]1NC(=O)c2cc(F)ccc2O1,3.32,0.5,0.1,10.1002/chem.202002930,OD3
29,15,Fc1ccc2c(CN[C@@H](c3ccccc3)c4ccccc24)c1,2.1,0.5,0.2,10.1039/C8SC04482A,OD3
30,15,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,3.4,0.5,0.2,10.1039/C8SC04482A,OD3
31,16,Cc1ccc(cc1)[C@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,4.32,1,0.1,10.1002/anie.201501762,ADH
32,16,Cc1ccc(cc1)[C@@]2(C)CC(C)(C)CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F,3.46,1,0.1,10.1002/anie.201501762,ADH
33,17,CCCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.66,0.5,0.05,10.1039/C9SC04534A,IAU
34,17,CCCCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
35,18,CCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.74,0.5,0.05,10.1039/C9SC04534A,IAU
36,18,CCC[C@@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,3.5,0.5,0.05,10.1039/C9SC04534A,IAU
37,19,CCCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,4.2,1,0.1,10.1002/adsc.201900161,ODH
38,19,CCCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c2ccccc2,3.5,1,0.1,10.1002/adsc.201900161,ODH
39,20,C[C@@H]1NC(=O)c2cccc(C)c2O1,2.92,0.5,0.1,10.1002/chem.202002930,OD3
40,20,C[C@H]1NC(=O)c2cccc(C)c2O1,3.54,0.5,0.1,10.1002/chem.202002930,OD3
41,21,Cc1ccccc1C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O,3.81,0.5,0.05,10.1039/C9SC04534A,IAU
42,21,Cc1ccccc1C[C@@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O,3.6,0.5,0.05,10.1039/C9SC04534A,IAU
43,22,C[C@H]1Oc2ccccc2C(=O)N1C,3.21,0.5,0.1,10.1002/chem.202002930,OD3
44,22,C[C@@H]1Oc2ccccc2C(=O)N1C,3.6,0.5,0.1,10.1002/chem.202002930,OD3
45,23,C[C@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,6.4,1,0.1,10.1002/anie.201501762,ADH
46,23,C[C@@]1(CC2(CCCCC2)CN1C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccc(CC=C)cc4,3.63,1,0.1,10.1002/anie.201501762,ADH
