,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
3,3,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,2.13,0.5,0.3,10.1039/C8QO01291A,IA
4,4,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,2.3,0.5,0.3,10.1039/C8QO01291A,IA
15,15,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,2.48,0.5,0.3,10.1039/C8QO01291A,IA
16,16,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,2.77,0.5,0.3,10.1039/C8QO01291A,IA
63,63,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2sccc2,3.75,0.5,0.1,10.1039/C8QO01291A,IA
64,64,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2sccc2,3.98,0.5,0.1,10.1039/C8QO01291A,IA
79,79,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Br)cc2,3.84,0.5,0.1,10.1039/C8QO01291A,IA
80,80,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Br)cc2,4.16,0.5,0.1,10.1039/C8QO01291A,IA
81,81,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2C,3.37,0.5,0.1,10.1039/C8QO01291A,IA
82,82,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2C,4.17,0.5,0.1,10.1039/C8QO01291A,IA
110,110,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,4.01,0.5,0.1,10.1039/C8QO01291A,IA
111,111,C[C@@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccccc2,4.41,0.5,0.1,10.1039/C8QO01291A,IA
184,184,C[C@H]1CC[C@@H](C(C)C)[C@@H](C1)OC(=O)/C=C/c2cccc(C(C)C)c2\C(C=O)=C/c3ccccc3,5.84,1.0,0.1,10.1002/anie.201915949,IA
213,213,C[C@@H](C(=O)NCc1ccccc1)c2ccccc2,6.697,1.0,0.2,10.1039/D0CC06311H,IA
214,214,C[C@H](C(=O)NCc1ccccc1)c2ccccc2,5.314,1.0,0.2,10.1039/D0CC06311H,IA
384,384,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3c(cccc23)C(F)(F)F)c4cccc5cccnc45)C1=O,5.1,1.0,0.4,10.1002/anie.202108853,IA
385,385,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3c(cccc23)C(F)(F)F)c4cccc5cccnc45)C1=O,6.2,1.0,0.4,10.1002/anie.202108853,IA
